disease_agent,gideon_disease,region,pop
PARASITE,Acanthocephalan infections,rest of Asia,289869396
PARASITE,Acanthocephalan infections,China,455087531
PARASITE,Acanthocephalan infections,India,311536786
PARASITE,Acanthocephalan infections,Southeast Asia,50821662
PARASITE,Acanthocephalan infections,Africa,481950918
PARASITE,Acanthocephalan infections,Europe,499358227
PARASITE,Acanthocephalan infections,North America,189543606
BACTERIUM,Anaplasmosis,rest of Asia,300810715
BACTERIUM,Anaplasmosis,China,463337665
BACTERIUM,Anaplasmosis,India,311564049
BACTERIUM,Anaplasmosis,Southeast Asia,182429088
BACTERIUM,Anaplasmosis,Africa,522587852
BACTERIUM,Anaplasmosis,Central America and Caribbean,114062537
BACTERIUM,Anaplasmosis,South America,144581049
BACTERIUM,Anaplasmosis,Europe,499475308
BACTERIUM,Anaplasmosis,North America,218238099
PARASITE,Angiostrongyliasis,rest of Asia,209371893
PARASITE,Angiostrongyliasis,China,83623657
PARASITE,Angiostrongyliasis,India,280953954
PARASITE,Angiostrongyliasis,Southeast Asia,241495685
PARASITE,Angiostrongyliasis,Africa,465158619
PARASITE,Angiostrongyliasis,Oceania,10220561
PARASITE,Angiostrongyliasis,Central America and Caribbean,465660
PARASITE,Angiostrongyliasis,South America,246822
PARASITE,Angiostrongyliasis,Europe,478123644
PARASITE,Angiostrongyliasis,North America,25482111
PARASITE,Angiostrongyliasis - abdominal,rest of Asia,162374485
PARASITE,Angiostrongyliasis - abdominal,China,857293
PARASITE,Angiostrongyliasis - abdominal,India,269638944
PARASITE,Angiostrongyliasis - abdominal,Africa,465158619
PARASITE,Angiostrongyliasis - abdominal,Central America and Caribbean,54642
PARASITE,Angiostrongyliasis - abdominal,South America,544543
PARASITE,Angiostrongyliasis - abdominal,Europe,478123644
PARASITE,Angiostrongyliasis - abdominal,North America,25482111
BACTERIUM,Anthrax,rest of Asia,161770097
BACTERIUM,Anthrax,China,264861506
BACTERIUM,Anthrax,India,242487513
BACTERIUM,Anthrax,Southeast Asia,172312147
BACTERIUM,Anthrax,Africa,279129970
BACTERIUM,Anthrax,Central America and Caribbean,112869277
BACTERIUM,Anthrax,South America,76500132
BACTERIUM,Anthrax,Europe,156663347
BACTERIUM,Anthrax,North America,191665874
PARASITE,Babesiosis,rest of Asia,290806931
PARASITE,Babesiosis,China,456596352
PARASITE,Babesiosis,India,311316773
PARASITE,Babesiosis,Southeast Asia,4209017
PARASITE,Babesiosis,Africa,481952399
PARASITE,Babesiosis,Central America and Caribbean,113367680
PARASITE,Babesiosis,South America,76656209
PARASITE,Babesiosis,Europe,499358574
PARASITE,Babesiosis,North America,214262115
PARASITE,Balantidiasis,rest of Asia,171871735
PARASITE,Balantidiasis,China,419517410
PARASITE,Balantidiasis,India,278808181
PARASITE,Balantidiasis,Southeast Asia,180447811
PARASITE,Balantidiasis,Africa,184283892
PARASITE,Balantidiasis,Central America and Caribbean,41638291
PARASITE,Balantidiasis,Europe,141081915
BACTERIUM,Bartonellosis - cat borne,rest of Asia,275322942
BACTERIUM,Bartonellosis - cat borne,China,463148104
BACTERIUM,Bartonellosis - cat borne,India,311432781
BACTERIUM,Bartonellosis - cat borne,Southeast Asia,92816408
BACTERIUM,Bartonellosis - cat borne,Africa,481952527
BACTERIUM,Bartonellosis - cat borne,Central America and Caribbean,113118116
BACTERIUM,Bartonellosis - cat borne,South America,83136874
BACTERIUM,Bartonellosis - cat borne,Europe,499484426
BACTERIUM,Bartonellosis - cat borne,North America,214297361
BACTERIUM,Bartonellosis - other systemic,rest of Asia,301179064
BACTERIUM,Bartonellosis - other systemic,China,466840005
BACTERIUM,Bartonellosis - other systemic,India,312198595
BACTERIUM,Bartonellosis - other systemic,Southeast Asia,267933114
BACTERIUM,Bartonellosis - other systemic,Africa,774695855
BACTERIUM,Bartonellosis - other systemic,Central America and Caribbean,143666232
BACTERIUM,Bartonellosis - other systemic,South America,79391334
BACTERIUM,Bartonellosis - other systemic,Europe,499639486
BACTERIUM,Bartonellosis - other systemic,North America,220992871
PARASITE,Baylisascariasis,rest of Asia,10164173
PARASITE,Baylisascariasis,China,2423033
PARASITE,Baylisascariasis,India,150457
PARASITE,Baylisascariasis,Africa,9444232
PARASITE,Baylisascariasis,Central America and Caribbean,113248367
PARASITE,Baylisascariasis,South America,43856653
PARASITE,Baylisascariasis,Europe,117007130
PARASITE,Baylisascariasis,North America,213631398
BACTERIUM,Brucellosis,rest of Asia,254702255
BACTERIUM,Brucellosis,China,267305854
BACTERIUM,Brucellosis,India,311140276
BACTERIUM,Brucellosis,Southeast Asia,182413822
BACTERIUM,Brucellosis,Africa,541452302
BACTERIUM,Brucellosis,Oceania,1
BACTERIUM,Brucellosis,Central America and Caribbean,31634876
BACTERIUM,Brucellosis,South America,33754720
BACTERIUM,Brucellosis,Europe,497851756
BACTERIUM,Brucellosis,North America,43671629
VIRUS,Bunyaviridae infections - misc.,rest of Asia,17824856
VIRUS,Bunyaviridae infections - misc.,China,2423033
VIRUS,Bunyaviridae infections - misc.,India,150457
VIRUS,Bunyaviridae infections - misc.,Africa,47668
VIRUS,Bunyaviridae infections - misc.,Central America and Caribbean,112869277
VIRUS,Bunyaviridae infections - misc.,South America,76500132
VIRUS,Bunyaviridae infections - misc.,Europe,445693547
VIRUS,Bunyaviridae infections - misc.,North America,192273668
VIRUS,California encephalitis group,rest of Asia,271763780
VIRUS,California encephalitis group,China,454901210
VIRUS,California encephalitis group,India,207730235
VIRUS,California encephalitis group,Southeast Asia,3868724
VIRUS,California encephalitis group,Africa,77185391
VIRUS,California encephalitis group,Central America and Caribbean,114062537
VIRUS,California encephalitis group,South America,76500132
VIRUS,California encephalitis group,Europe,497537846
VIRUS,California encephalitis group,North America,218189585
BACTERIUM,Campylobacteriosis,rest of Asia,162388286
BACTERIUM,Campylobacteriosis,China,264863144
BACTERIUM,Campylobacteriosis,India,242447833
BACTERIUM,Campylobacteriosis,Southeast Asia,180045155
BACTERIUM,Campylobacteriosis,Africa,29012039
BACTERIUM,Campylobacteriosis,Central America and Caribbean,105087858
BACTERIUM,Campylobacteriosis,Europe,161737017
BACTERIUM,Campylobacteriosis,North America,175006580
PARASITE,Capillariasis - extraintestinal,rest of Asia,289820146
PARASITE,Capillariasis - extraintestinal,China,459931454
PARASITE,Capillariasis - extraintestinal,India,311536256
PARASITE,Capillariasis - extraintestinal,Southeast Asia,112332163
PARASITE,Capillariasis - extraintestinal,Africa,519097686
PARASITE,Capillariasis - extraintestinal,Central America and Caribbean,36283312
PARASITE,Capillariasis - extraintestinal,South America,90407055
PARASITE,Capillariasis - extraintestinal,Europe,499455977
PARASITE,Capillariasis - extraintestinal,North America,194109156
VIRUS,Chikungunya,rest of Asia,6997120
VIRUS,Chikungunya,China,1851376
VIRUS,Chikungunya,India,7418382
VIRUS,Chikungunya,Southeast Asia,209032117
VIRUS,Chikungunya,Africa,645264908
FUNGUS,Coccidioidomycosis,rest of Asia,6347
FUNGUS,Coccidioidomycosis,Africa,53080726
FUNGUS,Coccidioidomycosis,Oceania,1193495
FUNGUS,Coccidioidomycosis,Central America and Caribbean,97178639
FUNGUS,Coccidioidomycosis,South America,236463073
FUNGUS,Coccidioidomycosis,Europe,233551
FUNGUS,Coccidioidomycosis,North America,112396688
VIRUS,Crimean-Congo hemorrhagic fever,rest of Asia,162384122
VIRUS,Crimean-Congo hemorrhagic fever,China,264861924
VIRUS,Crimean-Congo hemorrhagic fever,India,242422272
VIRUS,Crimean-Congo hemorrhagic fever,Southeast Asia,172312147
VIRUS,Crimean-Congo hemorrhagic fever,Africa,703036951
VIRUS,Crimean-Congo hemorrhagic fever,Europe,261723157
PARASITE,Cryptosporidiosis,rest of Asia,300761048
PARASITE,Cryptosporidiosis,China,466561655
PARASITE,Cryptosporidiosis,India,311564128
PARASITE,Cryptosporidiosis,Southeast Asia,321925489
PARASITE,Cryptosporidiosis,Africa,604811876
PARASITE,Cryptosporidiosis,Oceania,20334772
PARASITE,Cryptosporidiosis,Central America and Caribbean,114008149
PARASITE,Cryptosporidiosis,South America,76556714
PARASITE,Cryptosporidiosis,Europe,499575521
PARASITE,Cryptosporidiosis,North America,218240571
VIRUS,Dengue,rest of Asia,14657803
VIRUS,Dengue,China,1851376
VIRUS,Dengue,India,7418382
VIRUS,Dengue,Southeast Asia,209035217
VIRUS,Dengue,Central America and Caribbean,123570442
VIRUS,Dengue,South America,223520896
VIRUS,Dengue,North America,2749137
PARASITE,Dicrocoeliasis,rest of Asia,10510723
PARASITE,Dicrocoeliasis,Africa,5841219
PARASITE,Dicrocoeliasis,Central America and Caribbean,114002162
PARASITE,Dicrocoeliasis,South America,76500132
PARASITE,Dicrocoeliasis,Europe,426275802
PARASITE,Dicrocoeliasis,North America,215698835
PARASITE,Dioctophyma renale infection,rest of Asia,163092958
PARASITE,Dioctophyma renale infection,China,857293
PARASITE,Dioctophyma renale infection,India,269638944
PARASITE,Dioctophyma renale infection,Africa,465158619
PARASITE,Dioctophyma renale infection,Central America and Caribbean,194
PARASITE,Dioctophyma renale infection,South America,73327896
PARASITE,Dioctophyma renale infection,Europe,487404894
PARASITE,Dioctophyma renale infection,North America,8187382
PARASITE,Diphyllobothriasis,rest of Asia,285007531
PARASITE,Diphyllobothriasis,China,460676427
PARASITE,Diphyllobothriasis,India,230508696
PARASITE,Diphyllobothriasis,Southeast Asia,33245977
PARASITE,Diphyllobothriasis,Africa,77237272
PARASITE,Diphyllobothriasis,Europe,498350881
PARASITE,Diphyllobothriasis,North America,190078413
PARASITE,Dipylidiasis,rest of Asia,289682419
PARASITE,Dipylidiasis,China,459152161
PARASITE,Dipylidiasis,India,311403898
PARASITE,Dipylidiasis,Southeast Asia,63511656
PARASITE,Dipylidiasis,Africa,157622243
PARASITE,Dipylidiasis,South America,66060974
PARASITE,Dipylidiasis,Europe,497561693
PARASITE,Dipylidiasis,North America,189543606
PARASITE,Dirofilariasis,rest of Asia,291643327
PARASITE,Dirofilariasis,China,462602968
PARASITE,Dirofilariasis,India,311616427
PARASITE,Dirofilariasis,Southeast Asia,127708834
PARASITE,Dirofilariasis,Africa,313453986
PARASITE,Dirofilariasis,Oceania,5
PARASITE,Dirofilariasis,Central America and Caribbean,113844885
PARASITE,Dirofilariasis,South America,68632263
PARASITE,Dirofilariasis,Europe,499306103
PARASITE,Dirofilariasis,North America,217612758
VIRUS,Ebola,rest of Asia,1975
VIRUS,Ebola,China,835380
VIRUS,Ebola,India,1736
VIRUS,Ebola,Southeast Asia,245595826
VIRUS,Ebola,Africa,623880908
VIRUS,Ebola,Oceania,5812874
VIRUS,Ebola,Europe,63456076
PARASITE,Echinococcosis - multilocular,rest of Asia,293285631
PARASITE,Echinococcosis - multilocular,China,464436852
PARASITE,Echinococcosis - multilocular,India,311743783
PARASITE,Echinococcosis - multilocular,Southeast Asia,215257660
PARASITE,Echinococcosis - multilocular,Africa,400206988
PARASITE,Echinococcosis - multilocular,Central America and Caribbean,107434326
PARASITE,Echinococcosis - multilocular,South America,197336
PARASITE,Echinococcosis - multilocular,Europe,499035420
PARASITE,Echinococcosis - multilocular,North America,217448726
PARASITE,Echinococcosis - unilocular,rest of Asia,293248539
PARASITE,Echinococcosis - unilocular,China,463337500
PARASITE,Echinococcosis - unilocular,India,311743774
PARASITE,Echinococcosis - unilocular,Southeast Asia,182429088
PARASITE,Echinococcosis - unilocular,Africa,281254699
PARASITE,Echinococcosis - unilocular,Oceania,3214725
PARASITE,Echinococcosis - unilocular,Central America and Caribbean,114002162
PARASITE,Echinococcosis - unilocular,South America,81564840
PARASITE,Echinococcosis - unilocular,Europe,497601240
PARASITE,Echinococcosis - unilocular,North America,218116195
PARASITE,Echinostomiasis,rest of Asia,219823679
PARASITE,Echinostomiasis,China,344533302
PARASITE,Echinostomiasis,India,269638944
PARASITE,Echinostomiasis,Africa,465158817
PARASITE,Echinostomiasis,Europe,493792511
BACTERIUM,Ehrlichiosis - human monocytic,rest of Asia,300380006
BACTERIUM,Ehrlichiosis - human monocytic,China,457790762
BACTERIUM,Ehrlichiosis - human monocytic,India,311403898
BACTERIUM,Ehrlichiosis - human monocytic,Southeast Asia,51161955
BACTERIUM,Ehrlichiosis - human monocytic,Africa,166230661
BACTERIUM,Ehrlichiosis - human monocytic,Central America and Caribbean,114060024
BACTERIUM,Ehrlichiosis - human monocytic,South America,128163210
BACTERIUM,Ehrlichiosis - human monocytic,Europe,497756829
BACTERIUM,Ehrlichiosis - human monocytic,North America,218176983
PARASITE,Fascioliasis,rest of Asia,244467030
PARASITE,Fascioliasis,China,265683569
PARASITE,Fascioliasis,India,305751334
PARASITE,Fascioliasis,Southeast Asia,172312147
PARASITE,Fascioliasis,Africa,482751699
PARASITE,Fascioliasis,Oceania,14852042
PARASITE,Fascioliasis,South America,197336
PARASITE,Fascioliasis,Europe,498394514
PARASITE,Fascioliasis,North America,8321381
PARASITE,Giardiasis,rest of Asia,300792375
PARASITE,Giardiasis,China,466561703
PARASITE,Giardiasis,India,311565864
PARASITE,Giardiasis,Southeast Asia,252158962
PARASITE,Giardiasis,Africa,536531547
PARASITE,Giardiasis,Oceania,269939
PARASITE,Giardiasis,Central America and Caribbean,114009070
PARASITE,Giardiasis,South America,115577758
PARASITE,Giardiasis,Europe,499502251
PARASITE,Giardiasis,North America,218230438
PARASITE,Gnathostomiasis,rest of Asia,162795269
PARASITE,Gnathostomiasis,China,267228369
PARASITE,Gnathostomiasis,India,242436108
PARASITE,Gnathostomiasis,Southeast Asia,172312147
PARASITE,Gnathostomiasis,Africa,116367128
PARASITE,Gnathostomiasis,Europe,141081915
PARASITE,Gongylonemiasis,rest of Asia,161110637
PARASITE,Gongylonemiasis,China,264861506
PARASITE,Gongylonemiasis,India,242422272
PARASITE,Gongylonemiasis,Southeast Asia,172312147
PARASITE,Gongylonemiasis,Africa,28886049
