mdd_order,mdd_sciName,disease_agent,gideon_disease
AFROSORICIDA,Tenrec_ecaudatus,BACTERIUM,Plague
ARTIODACTYLA,Addax_nasomaculatus,BACTERIUM,Spotted fevers - Old World
ARTIODACTYLA,Addax_nasomaculatus,PARASITE,Echinococcosis - unilocular
ARTIODACTYLA,Aepyceros_melampus,BACTERIUM,Brucellosis
ARTIODACTYLA,Aepyceros_melampus,PARASITE,Cryptosporidiosis
ARTIODACTYLA,Aepyceros_melampus,PARASITE,Echinococcosis - unilocular
ARTIODACTYLA,Aepyceros_melampus,PARASITE,Fascioliasis
ARTIODACTYLA,Aepyceros_melampus,PARASITE,Pentastomiasis - Armillifer
ARTIODACTYLA,Aepyceros_melampus,PARASITE,Pentastomiasis - Linguatula
ARTIODACTYLA,Alcelaphus_buselaphus,PARASITE,Trypanosomiasis - African
ARTIODACTYLA,Alces_alces,BACTERIUM,Anaplasmosis
ARTIODACTYLA,Alces_alces,BACTERIUM,Bartonellosis - other systemic
ARTIODACTYLA,Alces_alces,BACTERIUM,Brucellosis
ARTIODACTYLA,Alces_alces,PARASITE,Echinococcosis - unilocular
ARTIODACTYLA,Alces_alces,PARASITE,Fascioliasis
ARTIODACTYLA,Alces_alces,PARASITE,Giardiasis
ARTIODACTYLA,Alces_alces,VIRUS,Hantaviruses - Old World
ARTIODACTYLA,Alces_alces,VIRUS,Hepatitis E
ARTIODACTYLA,Alces_alces,PARASITE,Toxoplasmosis
ARTIODACTYLA,Ammotragus_lervia,PARASITE,Toxoplasmosis
ARTIODACTYLA,Antidorcas_marsupialis,BACTERIUM,Anthrax
ARTIODACTYLA,Antilocapra_americana,PARASITE,Capillariasis - extraintestinal
ARTIODACTYLA,Antilocapra_americana,VIRUS,Eastern equine encephalitis
ARTIODACTYLA,Bos_bison,BACTERIUM,Anthrax
ARTIODACTYLA,Bos_bison,BACTERIUM,Brucellosis
ARTIODACTYLA,Bos_bison,PARASITE,Cryptosporidiosis
ARTIODACTYLA,Bos_bison,BACTERIUM,Escherichia coli diarrhea
ARTIODACTYLA,Bos_bison,PARASITE,Giardiasis
ARTIODACTYLA,Bos_bison,VIRUS,Hepatitis E
ARTIODACTYLA,Bos_bison,BACTERIUM,Tuberculosis
ARTIODACTYLA,Bos_bonasus,BACTERIUM,Tuberculosis
ARTIODACTYLA,Bos_bonasus,BACTERIUM,Leptospirosis
ARTIODACTYLA,Bos_bonasus,BACTERIUM,Anaplasmosis
ARTIODACTYLA,Blastocerus_dichotomus,BACTERIUM,Anaplasmosis
ARTIODACTYLA,Blastocerus_dichotomus,VIRUS,Rabies
ARTIODACTYLA,Boselaphus_tragocamelus,BACTERIUM,Anthrax
ARTIODACTYLA,Budorcas_taxicolor,BACTERIUM,Brucellosis
ARTIODACTYLA,Budorcas_taxicolor,PARASITE,Cryptosporidiosis
ARTIODACTYLA,Budorcas_taxicolor,PARASITE,Giardiasis
ARTIODACTYLA,Budorcas_taxicolor,FUNGUS,Microsporidiosis
ARTIODACTYLA,Capra_falconeri,VIRUS,Tick-borne encephalitis
ARTIODACTYLA,Capra_ibex,BACTERIUM,Brucellosis
ARTIODACTYLA,Capra_ibex,PARASITE,Cryptosporidiosis
ARTIODACTYLA,Capra_ibex,BACTERIUM,Leptospirosis
ARTIODACTYLA,Capra_ibex,BACTERIUM,Q-fever
ARTIODACTYLA,Capra_ibex,PARASITE,Toxoplasmosis
ARTIODACTYLA,Capra_nubiana,PARASITE,Coenurosis
ARTIODACTYLA,Capra_pyrenaica,BACTERIUM,Brucellosis
ARTIODACTYLA,Capra_pyrenaica,PARASITE,Toxoplasmosis
ARTIODACTYLA,Capreolus_capreolus,BACTERIUM,Anaplasmosis
ARTIODACTYLA,Capreolus_capreolus,PARASITE,Babesiosis
ARTIODACTYLA,Capreolus_capreolus,BACTERIUM,Bartonellosis - other systemic
ARTIODACTYLA,Capreolus_capreolus,PARASITE,Cryptosporidiosis
ARTIODACTYLA,Capreolus_capreolus,PARASITE,Dicrocoeliasis
ARTIODACTYLA,Capreolus_capreolus,PARASITE,Fascioliasis
ARTIODACTYLA,Capreolus_capreolus,PARASITE,Giardiasis
ARTIODACTYLA,Capreolus_capreolus,VIRUS,Hantaviruses - Old World
ARTIODACTYLA,Capreolus_capreolus,VIRUS,Hepatitis E
ARTIODACTYLA,Capreolus_capreolus,BACTERIUM,Leptospirosis
ARTIODACTYLA,Capreolus_capreolus,BACTERIUM,Lyme disease
ARTIODACTYLA,Capreolus_capreolus,BACTERIUM,Q-fever
ARTIODACTYLA,Capreolus_capreolus,VIRUS,Tick-borne encephalitis
ARTIODACTYLA,Capreolus_capreolus,PARASITE,Toxoplasmosis
ARTIODACTYLA,Capreolus_capreolus,PARASITE,Trichostrongyliasis
ARTIODACTYLA,Capricornis_crispus,PARASITE,Dicrocoeliasis
ARTIODACTYLA,Capricornis_crispus,PARASITE,Onchocerciasis - zoonotic
ARTIODACTYLA,Capricornis_crispus,VIRUS,Orf
ARTIODACTYLA,Capricornis_crispus,PARASITE,Toxoplasmosis
ARTIODACTYLA,Cephalophus_dorsalis,PARASITE,Trypanosomiasis - African
ARTIODACTYLA,Cervus_elaphus,BACTERIUM,Anaplasmosis
ARTIODACTYLA,Cervus_elaphus,BACTERIUM,Anthrax
ARTIODACTYLA,Cervus_elaphus,PARASITE,Babesiosis
ARTIODACTYLA,Cervus_elaphus,BACTERIUM,Brucellosis
