GRID,VERSION,ZONE,SHORTNAME,TILE,EXTENT,EASTINGLL,NORTHINGLL,COVERSLAND,wui_name
Equi7Grid,V14,Africa,E7G_AF,E006N073T1,100000,600000,7300000,1,X0006_Y0025
Equi7Grid,V14,Africa,E7G_AF,E006N071T1,100000,600000,7100000,1,X0006_Y0027
Equi7Grid,V14,Africa,E7G_AF,E006N070T1,100000,600000,7000000,1,X0006_Y0028
Equi7Grid,V14,Africa,E7G_AF,E007N073T1,100000,700000,7300000,1,X0007_Y0025
Equi7Grid,V14,Africa,E7G_AF,E007N072T1,100000,700000,7200000,1,X0007_Y0026
Equi7Grid,V14,Africa,E7G_AF,E007N071T1,100000,700000,7100000,1,X0007_Y0027
Equi7Grid,V14,Africa,E7G_AF,E007N070T1,100000,700000,7000000,1,X0007_Y0028
Equi7Grid,V14,Africa,E7G_AF,E008N072T1,100000,800000,7200000,1,X0008_Y0026
Equi7Grid,V14,Africa,E7G_AF,E008N071T1,100000,800000,7100000,1,X0008_Y0027
Equi7Grid,V14,Africa,E7G_AF,E008N070T1,100000,800000,7000000,1,X0008_Y0028
Equi7Grid,V14,Africa,E7G_AF,E009N072T1,100000,900000,7200000,1,X0009_Y0026
Equi7Grid,V14,Africa,E7G_AF,E009N071T1,100000,900000,7100000,1,X0009_Y0027
Equi7Grid,V14,Africa,E7G_AF,E014N070T1,100000,1400000,7000000,1,X0014_Y0028
Equi7Grid,V14,Africa,E7G_AF,E014N069T1,100000,1400000,6900000,1,X0014_Y0029
Equi7Grid,V14,Africa,E7G_AF,E014N068T1,100000,1400000,6800000,1,X0014_Y0030
Equi7Grid,V14,Africa,E7G_AF,E014N067T1,100000,1400000,6700000,1,X0014_Y0031
Equi7Grid,V14,Africa,E7G_AF,E014N066T1,100000,1400000,6600000,1,X0014_Y0032
Equi7Grid,V14,Africa,E7G_AF,E014N065T1,100000,1400000,6500000,1,X0014_Y0033
Equi7Grid,V14,Africa,E7G_AF,E015N076T1,100000,1500000,7600000,1,X0015_Y0022
Equi7Grid,V14,Africa,E7G_AF,E015N072T1,100000,1500000,7200000,1,X0015_Y0026
Equi7Grid,V14,Africa,E7G_AF,E015N071T1,100000,1500000,7100000,1,X0015_Y0027
Equi7Grid,V14,Africa,E7G_AF,E015N070T1,100000,1500000,7000000,1,X0015_Y0028
Equi7Grid,V14,Africa,E7G_AF,E015N069T1,100000,1500000,6900000,1,X0015_Y0029
Equi7Grid,V14,Africa,E7G_AF,E015N068T1,100000,1500000,6800000,1,X0015_Y0030
Equi7Grid,V14,Africa,E7G_AF,E015N067T1,100000,1500000,6700000,1,X0015_Y0031
Equi7Grid,V14,Africa,E7G_AF,E015N066T1,100000,1500000,6600000,1,X0015_Y0032
Equi7Grid,V14,Africa,E7G_AF,E015N065T1,100000,1500000,6500000,1,X0015_Y0033
Equi7Grid,V14,Africa,E7G_AF,E015N064T1,100000,1500000,6400000,1,X0015_Y0034
Equi7Grid,V14,Africa,E7G_AF,E016N085T1,100000,1600000,8500000,1,X0016_Y0013
Equi7Grid,V14,Africa,E7G_AF,E016N084T1,100000,1600000,8400000,1,X0016_Y0014
Equi7Grid,V14,Africa,E7G_AF,E016N078T1,100000,1600000,7800000,1,X0016_Y0020
Equi7Grid,V14,Africa,E7G_AF,E016N077T1,100000,1600000,7700000,1,X0016_Y0021
Equi7Grid,V14,Africa,E7G_AF,E016N076T1,100000,1600000,7600000,1,X0016_Y0022
Equi7Grid,V14,Africa,E7G_AF,E016N075T1,100000,1600000,7500000,1,X0016_Y0023
Equi7Grid,V14,Africa,E7G_AF,E016N074T1,100000,1600000,7400000,1,X0016_Y0024
Equi7Grid,V14,Africa,E7G_AF,E016N073T1,100000,1600000,7300000,1,X0016_Y0025
Equi7Grid,V14,Africa,E7G_AF,E016N072T1,100000,1600000,7200000,1,X0016_Y0026
Equi7Grid,V14,Africa,E7G_AF,E016N071T1,100000,1600000,7100000,1,X0016_Y0027
Equi7Grid,V14,Africa,E7G_AF,E016N070T1,100000,1600000,7000000,1,X0016_Y0028
Equi7Grid,V14,Africa,E7G_AF,E016N069T1,100000,1600000,6900000,1,X0016_Y0029
Equi7Grid,V14,Africa,E7G_AF,E016N068T1,100000,1600000,6800000,1,X0016_Y0030
Equi7Grid,V14,Africa,E7G_AF,E016N067T1,100000,1600000,6700000,1,X0016_Y0031
Equi7Grid,V14,Africa,E7G_AF,E016N066T1,100000,1600000,6600000,1,X0016_Y0032
Equi7Grid,V14,Africa,E7G_AF,E016N065T1,100000,1600000,6500000,1,X0016_Y0033
Equi7Grid,V14,Africa,E7G_AF,E016N064T1,100000,1600000,6400000,1,X0016_Y0034
Equi7Grid,V14,Africa,E7G_AF,E016N063T1,100000,1600000,6300000,1,X0016_Y0035
Equi7Grid,V14,Africa,E7G_AF,E016N042T1,100000,1600000,4200000,1,X0016_Y0056
Equi7Grid,V14,Africa,E7G_AF,E017N086T1,100000,1700000,8600000,1,X0017_Y0012
Equi7Grid,V14,Africa,E7G_AF,E017N085T1,100000,1700000,8500000,1,X0017_Y0013
Equi7Grid,V14,Africa,E7G_AF,E017N084T1,100000,1700000,8400000,1,X0017_Y0014
Equi7Grid,V14,Africa,E7G_AF,E017N080T1,100000,1700000,8000000,1,X0017_Y0018
Equi7Grid,V14,Africa,E7G_AF,E017N079T1,100000,1700000,7900000,1,X0017_Y0019
Equi7Grid,V14,Africa,E7G_AF,E017N078T1,100000,1700000,7800000,1,X0017_Y0020
Equi7Grid,V14,Africa,E7G_AF,E017N077T1,100000,1700000,7700000,1,X0017_Y0021
Equi7Grid,V14,Africa,E7G_AF,E017N076T1,100000,1700000,7600000,1,X0017_Y0022
Equi7Grid,V14,Africa,E7G_AF,E017N075T1,100000,1700000,7500000,1,X0017_Y0023
Equi7Grid,V14,Africa,E7G_AF,E017N074T1,100000,1700000,7400000,1,X0017_Y0024
Equi7Grid,V14,Africa,E7G_AF,E017N073T1,100000,1700000,7300000,1,X0017_Y0025
Equi7Grid,V14,Africa,E7G_AF,E017N072T1,100000,1700000,7200000,1,X0017_Y0026
Equi7Grid,V14,Africa,E7G_AF,E017N071T1,100000,1700000,7100000,1,X0017_Y0027
Equi7Grid,V14,Africa,E7G_AF,E017N070T1,100000,1700000,7000000,1,X0017_Y0028
Equi7Grid,V14,Africa,E7G_AF,E017N069T1,100000,1700000,6900000,1,X0017_Y0029
Equi7Grid,V14,Africa,E7G_AF,E017N068T1,100000,1700000,6800000,1,X0017_Y0030
Equi7Grid,V14,Africa,E7G_AF,E017N067T1,100000,1700000,6700000,1,X0017_Y0031
Equi7Grid,V14,Africa,E7G_AF,E017N066T1,100000,1700000,6600000,1,X0017_Y0032
Equi7Grid,V14,Africa,E7G_AF,E017N065T1,100000,1700000,6500000,1,X0017_Y0033
Equi7Grid,V14,Africa,E7G_AF,E017N064T1,100000,1700000,6400000,1,X0017_Y0034
Equi7Grid,V14,Africa,E7G_AF,E017N063T1,100000,1700000,6300000,1,X0017_Y0035
Equi7Grid,V14,Africa,E7G_AF,E017N062T1,100000,1700000,6200000,1,X0017_Y0036
Equi7Grid,V14,Africa,E7G_AF,E017N061T1,100000,1700000,6100000,1,X0017_Y0037
Equi7Grid,V14,Africa,E7G_AF,E018N085T1,100000,1800000,8500000,1,X0018_Y0013
Equi7Grid,V14,Africa,E7G_AF,E018N084T1,100000,1800000,8400000,1,X0018_Y0014
Equi7Grid,V14,Africa,E7G_AF,E018N080T1,100000,1800000,8000000,1,X0018_Y0018
Equi7Grid,V14,Africa,E7G_AF,E018N079T1,100000,1800000,7900000,1,X0018_Y0019
Equi7Grid,V14,Africa,E7G_AF,E018N078T1,100000,1800000,7800000,1,X0018_Y0020
Equi7Grid,V14,Africa,E7G_AF,E018N077T1,100000,1800000,7700000,1,X0018_Y0021
Equi7Grid,V14,Africa,E7G_AF,E018N076T1,100000,1800000,7600000,1,X0018_Y0022
Equi7Grid,V14,Africa,E7G_AF,E018N075T1,100000,1800000,7500000,1,X0018_Y0023
Equi7Grid,V14,Africa,E7G_AF,E018N074T1,100000,1800000,7400000,1,X0018_Y0024
Equi7Grid,V14,Africa,E7G_AF,E018N073T1,100000,1800000,7300000,1,X0018_Y0025
Equi7Grid,V14,Africa,E7G_AF,E018N072T1,100000,1800000,7200000,1,X0018_Y0026
Equi7Grid,V14,Africa,E7G_AF,E018N071T1,100000,1800000,7100000,1,X0018_Y0027
Equi7Grid,V14,Africa,E7G_AF,E018N070T1,100000,1800000,7000000,1,X0018_Y0028
Equi7Grid,V14,Africa,E7G_AF,E018N069T1,100000,1800000,6900000,1,X0018_Y0029
Equi7Grid,V14,Africa,E7G_AF,E018N068T1,100000,1800000,6800000,1,X0018_Y0030
Equi7Grid,V14,Africa,E7G_AF,E018N067T1,100000,1800000,6700000,1,X0018_Y0031
Equi7Grid,V14,Africa,E7G_AF,E018N066T1,100000,1800000,6600000,1,X0018_Y0032
Equi7Grid,V14,Africa,E7G_AF,E018N065T1,100000,1800000,6500000,1,X0018_Y0033
Equi7Grid,V14,Africa,E7G_AF,E018N064T1,100000,1800000,6400000,1,X0018_Y0034
Equi7Grid,V14,Africa,E7G_AF,E018N063T1,100000,1800000,6300000,1,X0018_Y0035
Equi7Grid,V14,Africa,E7G_AF,E018N062T1,100000,1800000,6200000,1,X0018_Y0036
Equi7Grid,V14,Africa,E7G_AF,E018N061T1,100000,1800000,6100000,1,X0018_Y0037
Equi7Grid,V14,Africa,E7G_AF,E018N060T1,100000,1800000,6000000,1,X0018_Y0038
Equi7Grid,V14,Africa,E7G_AF,E019N087T1,100000,1900000,8700000,1,X0019_Y0011
Equi7Grid,V14,Africa,E7G_AF,E019N084T1,100000,1900000,8400000,1,X0019_Y0014
Equi7Grid,V14,Africa,E7G_AF,E019N082T1,100000,1900000,8200000,1,X0019_Y0016
Equi7Grid,V14,Africa,E7G_AF,E019N081T1,100000,1900000,8100000,1,X0019_Y0017
Equi7Grid,V14,Africa,E7G_AF,E019N080T1,100000,1900000,8000000,1,X0019_Y0018
Equi7Grid,V14,Africa,E7G_AF,E019N079T1,100000,1900000,7900000,1,X0019_Y0019
Equi7Grid,V14,Africa,E7G_AF,E019N078T1,100000,1900000,7800000,1,X0019_Y0020
Equi7Grid,V14,Africa,E7G_AF,E019N077T1,100000,1900000,7700000,1,X0019_Y0021
Equi7Grid,V14,Africa,E7G_AF,E019N076T1,100000,1900000,7600000,1,X0019_Y0022
