GRID,VERSION,ZONE,SHORTNAME,TILE,EXTENT,EASTINGLL,NORTHINGLL,COVERSLAND,wui_name
Equi7Grid,V14,Asia,E7G_AS,E000N047T1,100000,0,4700000,1,X0000_Y0051
Equi7Grid,V14,Asia,E7G_AS,E000N046T1,100000,0,4600000,1,X0000_Y0052
Equi7Grid,V14,Asia,E7G_AS,E000N045T1,100000,0,4500000,1,X0000_Y0053
Equi7Grid,V14,Asia,E7G_AS,E000N044T1,100000,0,4400000,1,X0000_Y0054
Equi7Grid,V14,Asia,E7G_AS,E000N043T1,100000,0,4300000,1,X0000_Y0055
Equi7Grid,V14,Asia,E7G_AS,E000N042T1,100000,0,4200000,1,X0000_Y0056
Equi7Grid,V14,Asia,E7G_AS,E000N041T1,100000,0,4100000,1,X0000_Y0057
Equi7Grid,V14,Asia,E7G_AS,E000N040T1,100000,0,4000000,1,X0000_Y0058
Equi7Grid,V14,Asia,E7G_AS,E001N051T1,100000,100000,5100000,1,X0001_Y0047
Equi7Grid,V14,Asia,E7G_AS,E001N050T1,100000,100000,5000000,1,X0001_Y0048
Equi7Grid,V14,Asia,E7G_AS,E001N049T1,100000,100000,4900000,1,X0001_Y0049
Equi7Grid,V14,Asia,E7G_AS,E001N048T1,100000,100000,4800000,1,X0001_Y0050
Equi7Grid,V14,Asia,E7G_AS,E001N047T1,100000,100000,4700000,1,X0001_Y0051
Equi7Grid,V14,Asia,E7G_AS,E001N046T1,100000,100000,4600000,1,X0001_Y0052
Equi7Grid,V14,Asia,E7G_AS,E001N045T1,100000,100000,4500000,1,X0001_Y0053
Equi7Grid,V14,Asia,E7G_AS,E001N044T1,100000,100000,4400000,1,X0001_Y0054
Equi7Grid,V14,Asia,E7G_AS,E001N043T1,100000,100000,4300000,1,X0001_Y0055
Equi7Grid,V14,Asia,E7G_AS,E001N042T1,100000,100000,4200000,1,X0001_Y0056
Equi7Grid,V14,Asia,E7G_AS,E001N041T1,100000,100000,4100000,1,X0001_Y0057
Equi7Grid,V14,Asia,E7G_AS,E001N040T1,100000,100000,4000000,1,X0001_Y0058
Equi7Grid,V14,Asia,E7G_AS,E001N039T1,100000,100000,3900000,1,X0001_Y0059
Equi7Grid,V14,Asia,E7G_AS,E002N053T1,100000,200000,5300000,1,X0002_Y0045
Equi7Grid,V14,Asia,E7G_AS,E002N052T1,100000,200000,5200000,1,X0002_Y0046
Equi7Grid,V14,Asia,E7G_AS,E002N051T1,100000,200000,5100000,1,X0002_Y0047
Equi7Grid,V14,Asia,E7G_AS,E002N050T1,100000,200000,5000000,1,X0002_Y0048
Equi7Grid,V14,Asia,E7G_AS,E002N049T1,100000,200000,4900000,1,X0002_Y0049
Equi7Grid,V14,Asia,E7G_AS,E002N048T1,100000,200000,4800000,1,X0002_Y0050
Equi7Grid,V14,Asia,E7G_AS,E002N047T1,100000,200000,4700000,1,X0002_Y0051
Equi7Grid,V14,Asia,E7G_AS,E002N046T1,100000,200000,4600000,1,X0002_Y0052
Equi7Grid,V14,Asia,E7G_AS,E002N045T1,100000,200000,4500000,1,X0002_Y0053
Equi7Grid,V14,Asia,E7G_AS,E002N044T1,100000,200000,4400000,1,X0002_Y0054
Equi7Grid,V14,Asia,E7G_AS,E002N043T1,100000,200000,4300000,1,X0002_Y0055
Equi7Grid,V14,Asia,E7G_AS,E002N042T1,100000,200000,4200000,1,X0002_Y0056
Equi7Grid,V14,Asia,E7G_AS,E002N041T1,100000,200000,4100000,1,X0002_Y0057
Equi7Grid,V14,Asia,E7G_AS,E002N040T1,100000,200000,4000000,1,X0002_Y0058
Equi7Grid,V14,Asia,E7G_AS,E002N039T1,100000,200000,3900000,1,X0002_Y0059
Equi7Grid,V14,Asia,E7G_AS,E002N038T1,100000,200000,3800000,1,X0002_Y0060
Equi7Grid,V14,Asia,E7G_AS,E002N037T1,100000,200000,3700000,1,X0002_Y0061
Equi7Grid,V14,Asia,E7G_AS,E002N036T1,100000,200000,3600000,1,X0002_Y0062
Equi7Grid,V14,Asia,E7G_AS,E003N053T1,100000,300000,5300000,1,X0003_Y0045
Equi7Grid,V14,Asia,E7G_AS,E003N052T1,100000,300000,5200000,1,X0003_Y0046
Equi7Grid,V14,Asia,E7G_AS,E003N051T1,100000,300000,5100000,1,X0003_Y0047
Equi7Grid,V14,Asia,E7G_AS,E003N050T1,100000,300000,5000000,1,X0003_Y0048
Equi7Grid,V14,Asia,E7G_AS,E003N049T1,100000,300000,4900000,1,X0003_Y0049
Equi7Grid,V14,Asia,E7G_AS,E003N048T1,100000,300000,4800000,1,X0003_Y0050
Equi7Grid,V14,Asia,E7G_AS,E003N047T1,100000,300000,4700000,1,X0003_Y0051
Equi7Grid,V14,Asia,E7G_AS,E003N046T1,100000,300000,4600000,1,X0003_Y0052
Equi7Grid,V14,Asia,E7G_AS,E003N045T1,100000,300000,4500000,1,X0003_Y0053
Equi7Grid,V14,Asia,E7G_AS,E003N044T1,100000,300000,4400000,1,X0003_Y0054
Equi7Grid,V14,Asia,E7G_AS,E003N043T1,100000,300000,4300000,1,X0003_Y0055
Equi7Grid,V14,Asia,E7G_AS,E003N042T1,100000,300000,4200000,1,X0003_Y0056
Equi7Grid,V14,Asia,E7G_AS,E003N041T1,100000,300000,4100000,1,X0003_Y0057
Equi7Grid,V14,Asia,E7G_AS,E003N040T1,100000,300000,4000000,1,X0003_Y0058
Equi7Grid,V14,Asia,E7G_AS,E003N039T1,100000,300000,3900000,1,X0003_Y0059
Equi7Grid,V14,Asia,E7G_AS,E003N038T1,100000,300000,3800000,1,X0003_Y0060
Equi7Grid,V14,Asia,E7G_AS,E003N037T1,100000,300000,3700000,1,X0003_Y0061
Equi7Grid,V14,Asia,E7G_AS,E003N036T1,100000,300000,3600000,1,X0003_Y0062
Equi7Grid,V14,Asia,E7G_AS,E003N035T1,100000,300000,3500000,1,X0003_Y0063
Equi7Grid,V14,Asia,E7G_AS,E003N034T1,100000,300000,3400000,1,X0003_Y0064
Equi7Grid,V14,Asia,E7G_AS,E004N053T1,100000,400000,5300000,1,X0004_Y0045
Equi7Grid,V14,Asia,E7G_AS,E004N052T1,100000,400000,5200000,1,X0004_Y0046
Equi7Grid,V14,Asia,E7G_AS,E004N051T1,100000,400000,5100000,1,X0004_Y0047
Equi7Grid,V14,Asia,E7G_AS,E004N050T1,100000,400000,5000000,1,X0004_Y0048
Equi7Grid,V14,Asia,E7G_AS,E004N049T1,100000,400000,4900000,1,X0004_Y0049
Equi7Grid,V14,Asia,E7G_AS,E004N048T1,100000,400000,4800000,1,X0004_Y0050
Equi7Grid,V14,Asia,E7G_AS,E004N047T1,100000,400000,4700000,1,X0004_Y0051
Equi7Grid,V14,Asia,E7G_AS,E004N046T1,100000,400000,4600000,1,X0004_Y0052
Equi7Grid,V14,Asia,E7G_AS,E004N045T1,100000,400000,4500000,1,X0004_Y0053
Equi7Grid,V14,Asia,E7G_AS,E004N044T1,100000,400000,4400000,1,X0004_Y0054
Equi7Grid,V14,Asia,E7G_AS,E004N043T1,100000,400000,4300000,1,X0004_Y0055
Equi7Grid,V14,Asia,E7G_AS,E004N042T1,100000,400000,4200000,1,X0004_Y0056
Equi7Grid,V14,Asia,E7G_AS,E004N041T1,100000,400000,4100000,1,X0004_Y0057
Equi7Grid,V14,Asia,E7G_AS,E004N040T1,100000,400000,4000000,1,X0004_Y0058
Equi7Grid,V14,Asia,E7G_AS,E004N039T1,100000,400000,3900000,1,X0004_Y0059
Equi7Grid,V14,Asia,E7G_AS,E004N038T1,100000,400000,3800000,1,X0004_Y0060
Equi7Grid,V14,Asia,E7G_AS,E004N037T1,100000,400000,3700000,1,X0004_Y0061
Equi7Grid,V14,Asia,E7G_AS,E004N036T1,100000,400000,3600000,1,X0004_Y0062
Equi7Grid,V14,Asia,E7G_AS,E004N035T1,100000,400000,3500000,1,X0004_Y0063
Equi7Grid,V14,Asia,E7G_AS,E004N034T1,100000,400000,3400000,1,X0004_Y0064
Equi7Grid,V14,Asia,E7G_AS,E005N051T1,100000,500000,5100000,1,X0005_Y0047
Equi7Grid,V14,Asia,E7G_AS,E005N050T1,100000,500000,5000000,1,X0005_Y0048
Equi7Grid,V14,Asia,E7G_AS,E005N049T1,100000,500000,4900000,1,X0005_Y0049
Equi7Grid,V14,Asia,E7G_AS,E005N048T1,100000,500000,4800000,1,X0005_Y0050
Equi7Grid,V14,Asia,E7G_AS,E005N047T1,100000,500000,4700000,1,X0005_Y0051
Equi7Grid,V14,Asia,E7G_AS,E005N046T1,100000,500000,4600000,1,X0005_Y0052
Equi7Grid,V14,Asia,E7G_AS,E005N045T1,100000,500000,4500000,1,X0005_Y0053
Equi7Grid,V14,Asia,E7G_AS,E005N044T1,100000,500000,4400000,1,X0005_Y0054
Equi7Grid,V14,Asia,E7G_AS,E005N043T1,100000,500000,4300000,1,X0005_Y0055
Equi7Grid,V14,Asia,E7G_AS,E005N042T1,100000,500000,4200000,1,X0005_Y0056
Equi7Grid,V14,Asia,E7G_AS,E005N041T1,100000,500000,4100000,1,X0005_Y0057
Equi7Grid,V14,Asia,E7G_AS,E005N040T1,100000,500000,4000000,1,X0005_Y0058
Equi7Grid,V14,Asia,E7G_AS,E005N039T1,100000,500000,3900000,1,X0005_Y0059
Equi7Grid,V14,Asia,E7G_AS,E005N038T1,100000,500000,3800000,1,X0005_Y0060
Equi7Grid,V14,Asia,E7G_AS,E005N037T1,100000,500000,3700000,1,X0005_Y0061
Equi7Grid,V14,Asia,E7G_AS,E005N036T1,100000,500000,3600000,1,X0005_Y0062
Equi7Grid,V14,Asia,E7G_AS,E005N035T1,100000,500000,3500000,1,X0005_Y0063
Equi7Grid,V14,Asia,E7G_AS,E005N034T1,100000,500000,3400000,1,X0005_Y0064
Equi7Grid,V14,Asia,E7G_AS,E005N033T1,100000,500000,3300000,1,X0005_Y0065
Equi7Grid,V14,Asia,E7G_AS,E006N051T1,100000,600000,5100000,1,X0006_Y0047
Equi7Grid,V14,Asia,E7G_AS,E006N050T1,100000,600000,5000000,1,X0006_Y0048
Equi7Grid,V14,Asia,E7G_AS,E006N049T1,100000,600000,4900000,1,X0006_Y0049
Equi7Grid,V14,Asia,E7G_AS,E006N048T1,100000,600000,4800000,1,X0006_Y0050
Equi7Grid,V14,Asia,E7G_AS,E006N047T1,100000,600000,4700000,1,X0006_Y0051
Equi7Grid,V14,Asia,E7G_AS,E006N046T1,100000,600000,4600000,1,X0006_Y0052
Equi7Grid,V14,Asia,E7G_AS,E006N045T1,100000,600000,4500000,1,X0006_Y0053
Equi7Grid,V14,Asia,E7G_AS,E006N044T1,100000,600000,4400000,1,X0006_Y0054
Equi7Grid,V14,Asia,E7G_AS,E006N043T1,100000,600000,4300000,1,X0006_Y0055
Equi7Grid,V14,Asia,E7G_AS,E006N042T1,100000,600000,4200000,1,X0006_Y0056
Equi7Grid,V14,Asia,E7G_AS,E006N041T1,100000,600000,4100000,1,X0006_Y0057
Equi7Grid,V14,Asia,E7G_AS,E006N040T1,100000,600000,4000000,1,X0006_Y0058
Equi7Grid,V14,Asia,E7G_AS,E006N039T1,100000,600000,3900000,1,X0006_Y0059
Equi7Grid,V14,Asia,E7G_AS,E006N038T1,100000,600000,3800000,1,X0006_Y0060
Equi7Grid,V14,Asia,E7G_AS,E006N037T1,100000,600000,3700000,1,X0006_Y0061
Equi7Grid,V14,Asia,E7G_AS,E006N036T1,100000,600000,3600000,1,X0006_Y0062
Equi7Grid,V14,Asia,E7G_AS,E006N035T1,100000,600000,3500000,1,X0006_Y0063
Equi7Grid,V14,Asia,E7G_AS,E006N034T1,100000,600000,3400000,1,X0006_Y0064
Equi7Grid,V14,Asia,E7G_AS,E006N033T1,100000,600000,3300000,1,X0006_Y0065
Equi7Grid,V14,Asia,E7G_AS,E006N032T1,100000,600000,3200000,1,X0006_Y0066
Equi7Grid,V14,Asia,E7G_AS,E007N046T1,100000,700000,4600000,1,X0007_Y0052
Equi7Grid,V14,Asia,E7G_AS,E007N045T1,100000,700000,4500000,1,X0007_Y0053
Equi7Grid,V14,Asia,E7G_AS,E007N044T1,100000,700000,4400000,1,X0007_Y0054
Equi7Grid,V14,Asia,E7G_AS,E007N043T1,100000,700000,4300000,1,X0007_Y0055
Equi7Grid,V14,Asia,E7G_AS,E007N042T1,100000,700000,4200000,1,X0007_Y0056
Equi7Grid,V14,Asia,E7G_AS,E007N041T1,100000,700000,4100000,1,X0007_Y0057
Equi7Grid,V14,Asia,E7G_AS,E007N040T1,100000,700000,4000000,1,X0007_Y0058
Equi7Grid,V14,Asia,E7G_AS,E007N039T1,100000,700000,3900000,1,X0007_Y0059
Equi7Grid,V14,Asia,E7G_AS,E007N038T1,100000,700000,3800000,1,X0007_Y0060
Equi7Grid,V14,Asia,E7G_AS,E007N037T1,100000,700000,3700000,1,X0007_Y0061
Equi7Grid,V14,Asia,E7G_AS,E007N036T1,100000,700000,3600000,1,X0007_Y0062
Equi7Grid,V14,Asia,E7G_AS,E007N035T1,100000,700000,3500000,1,X0007_Y0063
Equi7Grid,V14,Asia,E7G_AS,E007N034T1,100000,700000,3400000,1,X0007_Y0064
Equi7Grid,V14,Asia,E7G_AS,E007N033T1,100000,700000,3300000,1,X0007_Y0065
Equi7Grid,V14,Asia,E7G_AS,E007N032T1,100000,700000,3200000,1,X0007_Y0066
Equi7Grid,V14,Asia,E7G_AS,E007N031T1,100000,700000,3100000,1,X0007_Y0067
Equi7Grid,V14,Asia,E7G_AS,E008N045T1,100000,800000,4500000,1,X0008_Y0053
Equi7Grid,V14,Asia,E7G_AS,E008N044T1,100000,800000,4400000,1,X0008_Y0054
Equi7Grid,V14,Asia,E7G_AS,E008N043T1,100000,800000,4300000,1,X0008_Y0055
Equi7Grid,V14,Asia,E7G_AS,E008N042T1,100000,800000,4200000,1,X0008_Y0056
Equi7Grid,V14,Asia,E7G_AS,E008N041T1,100000,800000,4100000,1,X0008_Y0057
Equi7Grid,V14,Asia,E7G_AS,E008N040T1,100000,800000,4000000,1,X0008_Y0058
Equi7Grid,V14,Asia,E7G_AS,E008N039T1,100000,800000,3900000,1,X0008_Y0059
Equi7Grid,V14,Asia,E7G_AS,E008N038T1,100000,800000,3800000,1,X0008_Y0060
Equi7Grid,V14,Asia,E7G_AS,E008N037T1,100000,800000,3700000,1,X0008_Y0061
Equi7Grid,V14,Asia,E7G_AS,E008N036T1,100000,800000,3600000,1,X0008_Y0062
Equi7Grid,V14,Asia,E7G_AS,E008N035T1,100000,800000,3500000,1,X0008_Y0063
Equi7Grid,V14,Asia,E7G_AS,E008N034T1,100000,800000,3400000,1,X0008_Y0064
Equi7Grid,V14,Asia,E7G_AS,E008N033T1,100000,800000,3300000,1,X0008_Y0065
Equi7Grid,V14,Asia,E7G_AS,E008N032T1,100000,800000,3200000,1,X0008_Y0066
Equi7Grid,V14,Asia,E7G_AS,E008N031T1,100000,800000,3100000,1,X0008_Y0067
Equi7Grid,V14,Asia,E7G_AS,E008N030T1,100000,800000,3000000,1,X0008_Y0068
Equi7Grid,V14,Asia,E7G_AS,E009N059T1,100000,900000,5900000,1,X0009_Y0039
Equi7Grid,V14,Asia,E7G_AS,E009N049T1,100000,900000,4900000,1,X0009_Y0049
Equi7Grid,V14,Asia,E7G_AS,E009N048T1,100000,900000,4800000,1,X0009_Y0050
Equi7Grid,V14,Asia,E7G_AS,E009N047T1,100000,900000,4700000,1,X0009_Y0051
Equi7Grid,V14,Asia,E7G_AS,E009N046T1,100000,900000,4600000,1,X0009_Y0052
Equi7Grid,V14,Asia,E7G_AS,E009N045T1,100000,900000,4500000,1,X0009_Y0053
Equi7Grid,V14,Asia,E7G_AS,E009N044T1,100000,900000,4400000,1,X0009_Y0054
Equi7Grid,V14,Asia,E7G_AS,E009N043T1,100000,900000,4300000,1,X0009_Y0055
Equi7Grid,V14,Asia,E7G_AS,E009N042T1,100000,900000,4200000,1,X0009_Y0056
Equi7Grid,V14,Asia,E7G_AS,E009N041T1,100000,900000,4100000,1,X0009_Y0057
Equi7Grid,V14,Asia,E7G_AS,E009N040T1,100000,900000,4000000,1,X0009_Y0058
Equi7Grid,V14,Asia,E7G_AS,E009N039T1,100000,900000,3900000,1,X0009_Y0059
Equi7Grid,V14,Asia,E7G_AS,E009N038T1,100000,900000,3800000,1,X0009_Y0060
Equi7Grid,V14,Asia,E7G_AS,E009N037T1,100000,900000,3700000,1,X0009_Y0061
Equi7Grid,V14,Asia,E7G_AS,E009N036T1,100000,900000,3600000,1,X0009_Y0062
Equi7Grid,V14,Asia,E7G_AS,E009N035T1,100000,900000,3500000,1,X0009_Y0063
Equi7Grid,V14,Asia,E7G_AS,E009N034T1,100000,900000,3400000,1,X0009_Y0064
Equi7Grid,V14,Asia,E7G_AS,E009N033T1,100000,900000,3300000,1,X0009_Y0065
Equi7Grid,V14,Asia,E7G_AS,E009N032T1,100000,900000,3200000,1,X0009_Y0066
Equi7Grid,V14,Asia,E7G_AS,E009N031T1,100000,900000,3100000,1,X0009_Y0067
Equi7Grid,V14,Asia,E7G_AS,E009N030T1,100000,900000,3000000,1,X0009_Y0068
Equi7Grid,V14,Asia,E7G_AS,E010N061T1,100000,1000000,6100000,1,X0010_Y0037
Equi7Grid,V14,Asia,E7G_AS,E010N060T1,100000,1000000,6000000,1,X0010_Y0038
Equi7Grid,V14,Asia,E7G_AS,E010N059T1,100000,1000000,5900000,1,X0010_Y0039
Equi7Grid,V14,Asia,E7G_AS,E010N058T1,100000,1000000,5800000,1,X0010_Y0040
Equi7Grid,V14,Asia,E7G_AS,E010N057T1,100000,1000000,5700000,1,X0010_Y0041
Equi7Grid,V14,Asia,E7G_AS,E010N055T1,100000,1000000,5500000,1,X0010_Y0043
Equi7Grid,V14,Asia,E7G_AS,E010N054T1,100000,1000000,5400000,1,X0010_Y0044
Equi7Grid,V14,Asia,E7G_AS,E010N053T1,100000,1000000,5300000,1,X0010_Y0045
Equi7Grid,V14,Asia,E7G_AS,E010N052T1,100000,1000000,5200000,1,X0010_Y0046
Equi7Grid,V14,Asia,E7G_AS,E010N051T1,100000,1000000,5100000,1,X0010_Y0047
Equi7Grid,V14,Asia,E7G_AS,E010N050T1,100000,1000000,5000000,1,X0010_Y0048
Equi7Grid,V14,Asia,E7G_AS,E010N049T1,100000,1000000,4900000,1,X0010_Y0049
Equi7Grid,V14,Asia,E7G_AS,E010N048T1,100000,1000000,4800000,1,X0010_Y0050
Equi7Grid,V14,Asia,E7G_AS,E010N047T1,100000,1000000,4700000,1,X0010_Y0051
Equi7Grid,V14,Asia,E7G_AS,E010N046T1,100000,1000000,4600000,1,X0010_Y0052
Equi7Grid,V14,Asia,E7G_AS,E010N045T1,100000,1000000,4500000,1,X0010_Y0053
Equi7Grid,V14,Asia,E7G_AS,E010N044T1,100000,1000000,4400000,1,X0010_Y0054
Equi7Grid,V14,Asia,E7G_AS,E010N043T1,100000,1000000,4300000,1,X0010_Y0055
Equi7Grid,V14,Asia,E7G_AS,E010N042T1,100000,1000000,4200000,1,X0010_Y0056
Equi7Grid,V14,Asia,E7G_AS,E010N041T1,100000,1000000,4100000,1,X0010_Y0057
Equi7Grid,V14,Asia,E7G_AS,E010N040T1,100000,1000000,4000000,1,X0010_Y0058
Equi7Grid,V14,Asia,E7G_AS,E010N039T1,100000,1000000,3900000,1,X0010_Y0059
