GRID,VERSION,ZONE,SHORTNAME,TILE,EXTENT,EASTINGLL,NORTHINGLL,COVERSLAND,wui_name
Equi7Grid,V14,Europe,E7G_EU,E014N023T1,100000,1400000,2300000,1,X0014_Y0075
Equi7Grid,V14,Europe,E7G_EU,E015N021T1,100000,1500000,2100000,1,X0015_Y0077
Equi7Grid,V14,Europe,E7G_EU,E015N020T1,100000,1500000,2000000,1,X0015_Y0078
Equi7Grid,V14,Europe,E7G_EU,E016N021T1,100000,1600000,2100000,1,X0016_Y0077
Equi7Grid,V14,Europe,E7G_EU,E016N020T1,100000,1600000,2000000,1,X0016_Y0078
Equi7Grid,V14,Europe,E7G_EU,E016N018T1,100000,1600000,1800000,1,X0016_Y0080
Equi7Grid,V14,Europe,E7G_EU,E016N017T1,100000,1600000,1700000,1,X0016_Y0081
Equi7Grid,V14,Europe,E7G_EU,E017N018T1,100000,1700000,1800000,1,X0017_Y0080
Equi7Grid,V14,Europe,E7G_EU,E017N017T1,100000,1700000,1700000,1,X0017_Y0081
Equi7Grid,V14,Europe,E7G_EU,E020N009T1,100000,2000000,900000,1,X0020_Y0089
Equi7Grid,V14,Europe,E7G_EU,E020N008T1,100000,2000000,800000,1,X0020_Y0090
Equi7Grid,V14,Europe,E7G_EU,E021N008T1,100000,2100000,800000,1,X0021_Y0090
Equi7Grid,V14,Europe,E7G_EU,E029N011T1,100000,2900000,1100000,1,X0029_Y0087
Equi7Grid,V14,Europe,E7G_EU,E029N010T1,100000,2900000,1000000,1,X0029_Y0088
Equi7Grid,V14,Europe,E7G_EU,E029N009T1,100000,2900000,900000,1,X0029_Y0089
Equi7Grid,V14,Europe,E7G_EU,E030N013T1,100000,3000000,1300000,1,X0030_Y0085
Equi7Grid,V14,Europe,E7G_EU,E030N012T1,100000,3000000,1200000,1,X0030_Y0086
Equi7Grid,V14,Europe,E7G_EU,E030N011T1,100000,3000000,1100000,1,X0030_Y0087
Equi7Grid,V14,Europe,E7G_EU,E030N010T1,100000,3000000,1000000,1,X0030_Y0088
Equi7Grid,V14,Europe,E7G_EU,E030N009T1,100000,3000000,900000,1,X0030_Y0089
Equi7Grid,V14,Europe,E7G_EU,E031N016T1,100000,3100000,1600000,1,X0031_Y0082
Equi7Grid,V14,Europe,E7G_EU,E031N015T1,100000,3100000,1500000,1,X0031_Y0083
Equi7Grid,V14,Europe,E7G_EU,E031N014T1,100000,3100000,1400000,1,X0031_Y0084
Equi7Grid,V14,Europe,E7G_EU,E031N013T1,100000,3100000,1300000,1,X0031_Y0085
Equi7Grid,V14,Europe,E7G_EU,E031N012T1,100000,3100000,1200000,1,X0031_Y0086
Equi7Grid,V14,Europe,E7G_EU,E031N011T1,100000,3100000,1100000,1,X0031_Y0087
Equi7Grid,V14,Europe,E7G_EU,E031N010T1,100000,3100000,1000000,1,X0031_Y0088
Equi7Grid,V14,Europe,E7G_EU,E031N009T1,100000,3100000,900000,1,X0031_Y0089
Equi7Grid,V14,Europe,E7G_EU,E031N008T1,100000,3100000,800000,1,X0031_Y0090
Equi7Grid,V14,Europe,E7G_EU,E031N007T1,100000,3100000,700000,1,X0031_Y0091
Equi7Grid,V14,Europe,E7G_EU,E031N006T1,100000,3100000,600000,1,X0031_Y0092
Equi7Grid,V14,Europe,E7G_EU,E032N016T1,100000,3200000,1600000,1,X0032_Y0082
Equi7Grid,V14,Europe,E7G_EU,E032N015T1,100000,3200000,1500000,1,X0032_Y0083
Equi7Grid,V14,Europe,E7G_EU,E032N014T1,100000,3200000,1400000,1,X0032_Y0084
Equi7Grid,V14,Europe,E7G_EU,E032N013T1,100000,3200000,1300000,1,X0032_Y0085
Equi7Grid,V14,Europe,E7G_EU,E032N012T1,100000,3200000,1200000,1,X0032_Y0086
Equi7Grid,V14,Europe,E7G_EU,E032N011T1,100000,3200000,1100000,1,X0032_Y0087
Equi7Grid,V14,Europe,E7G_EU,E032N010T1,100000,3200000,1000000,1,X0032_Y0088
Equi7Grid,V14,Europe,E7G_EU,E032N009T1,100000,3200000,900000,1,X0032_Y0089
Equi7Grid,V14,Europe,E7G_EU,E032N008T1,100000,3200000,800000,1,X0032_Y0090
Equi7Grid,V14,Europe,E7G_EU,E032N007T1,100000,3200000,700000,1,X0032_Y0091
Equi7Grid,V14,Europe,E7G_EU,E032N006T1,100000,3200000,600000,1,X0032_Y0092
Equi7Grid,V14,Europe,E7G_EU,E033N016T1,100000,3300000,1600000,1,X0033_Y0082
Equi7Grid,V14,Europe,E7G_EU,E033N015T1,100000,3300000,1500000,1,X0033_Y0083
Equi7Grid,V14,Europe,E7G_EU,E033N014T1,100000,3300000,1400000,1,X0033_Y0084
Equi7Grid,V14,Europe,E7G_EU,E033N013T1,100000,3300000,1300000,1,X0033_Y0085
Equi7Grid,V14,Europe,E7G_EU,E033N012T1,100000,3300000,1200000,1,X0033_Y0086
Equi7Grid,V14,Europe,E7G_EU,E033N011T1,100000,3300000,1100000,1,X0033_Y0087
Equi7Grid,V14,Europe,E7G_EU,E033N010T1,100000,3300000,1000000,1,X0033_Y0088
Equi7Grid,V14,Europe,E7G_EU,E033N009T1,100000,3300000,900000,1,X0033_Y0089
