GRID,VERSION,ZONE,SHORTNAME,TILE,EXTENT,EASTINGLL,NORTHINGLL,COVERSLAND,wui_name
Equi7Grid,V14,Northamerica,E7G_NA,E009N044T1,100000,900000,4400000,1,X0009_Y0054
Equi7Grid,V14,Northamerica,E7G_NA,E014N063T1,100000,1400000,6300000,1,X0014_Y0035
Equi7Grid,V14,Northamerica,E7G_NA,E014N062T1,100000,1400000,6200000,1,X0014_Y0036
Equi7Grid,V14,Northamerica,E7G_NA,E014N061T1,100000,1400000,6100000,1,X0014_Y0037
Equi7Grid,V14,Northamerica,E7G_NA,E014N056T1,100000,1400000,5600000,1,X0014_Y0042
Equi7Grid,V14,Northamerica,E7G_NA,E015N054T1,100000,1500000,5400000,1,X0015_Y0044
Equi7Grid,V14,Northamerica,E7G_NA,E017N050T1,100000,1700000,5000000,1,X0017_Y0048
Equi7Grid,V14,Northamerica,E7G_NA,E018N046T1,100000,1800000,4600000,1,X0018_Y0052
Equi7Grid,V14,Northamerica,E7G_NA,E020N043T1,100000,2000000,4300000,1,X0020_Y0055
Equi7Grid,V14,Northamerica,E7G_NA,E020N040T1,100000,2000000,4000000,1,X0020_Y0058
Equi7Grid,V14,Northamerica,E7G_NA,E021N040T1,100000,2100000,4000000,1,X0021_Y0058
Equi7Grid,V14,Northamerica,E7G_NA,E021N038T1,100000,2100000,3800000,1,X0021_Y0060
Equi7Grid,V14,Northamerica,E7G_NA,E022N038T1,100000,2200000,3800000,1,X0022_Y0060
Equi7Grid,V14,Northamerica,E7G_NA,E022N037T1,100000,2200000,3700000,1,X0022_Y0061
Equi7Grid,V14,Northamerica,E7G_NA,E022N036T1,100000,2200000,3600000,1,X0022_Y0062
Equi7Grid,V14,Northamerica,E7G_NA,E022N035T1,100000,2200000,3500000,1,X0022_Y0063
Equi7Grid,V14,Northamerica,E7G_NA,E022N034T1,100000,2200000,3400000,1,X0022_Y0064
Equi7Grid,V14,Northamerica,E7G_NA,E023N036T1,100000,2300000,3600000,1,X0023_Y0062
Equi7Grid,V14,Northamerica,E7G_NA,E023N035T1,100000,2300000,3500000,1,X0023_Y0063
Equi7Grid,V14,Northamerica,E7G_NA,E023N034T1,100000,2300000,3400000,1,X0023_Y0064
Equi7Grid,V14,Northamerica,E7G_NA,E037N083T1,100000,3700000,8300000,1,X0037_Y0015
Equi7Grid,V14,Northamerica,E7G_NA,E037N080T1,100000,3700000,8000000,1,X0037_Y0018
Equi7Grid,V14,Northamerica,E7G_NA,E037N079T1,100000,3700000,7900000,1,X0037_Y0019
Equi7Grid,V14,Northamerica,E7G_NA,E038N084T1,100000,3800000,8400000,1,X0038_Y0014
Equi7Grid,V14,Northamerica,E7G_NA,E038N083T1,100000,3800000,8300000,1,X0038_Y0015
Equi7Grid,V14,Northamerica,E7G_NA,E038N082T1,100000,3800000,8200000,1,X0038_Y0016
Equi7Grid,V14,Northamerica,E7G_NA,E038N081T1,100000,3800000,8100000,1,X0038_Y0017
Equi7Grid,V14,Northamerica,E7G_NA,E038N080T1,100000,3800000,8000000,1,X0038_Y0018
Equi7Grid,V14,Northamerica,E7G_NA,E038N079T1,100000,3800000,7900000,1,X0038_Y0019
Equi7Grid,V14,Northamerica,E7G_NA,E038N078T1,100000,3800000,7800000,1,X0038_Y0020
Equi7Grid,V14,Northamerica,E7G_NA,E038N077T1,100000,3800000,7700000,1,X0038_Y0021
Equi7Grid,V14,Northamerica,E7G_NA,E038N076T1,100000,3800000,7600000,1,X0038_Y0022
Equi7Grid,V14,Northamerica,E7G_NA,E039N077T1,100000,3900000,7700000,1,X0039_Y0021
Equi7Grid,V14,Northamerica,E7G_NA,E039N076T1,100000,3900000,7600000,1,X0039_Y0022
Equi7Grid,V14,Northamerica,E7G_NA,E039N075T1,100000,3900000,7500000,1,X0039_Y0023
Equi7Grid,V14,Northamerica,E7G_NA,E040N075T1,100000,4000000,7500000,1,X0040_Y0023
Equi7Grid,V14,Northamerica,E7G_NA,E040N074T1,100000,4000000,7400000,1,X0040_Y0024
Equi7Grid,V14,Northamerica,E7G_NA,E041N074T1,100000,4100000,7400000,1,X0041_Y0024
Equi7Grid,V14,Northamerica,E7G_NA,E041N073T1,100000,4100000,7300000,1,X0041_Y0025
Equi7Grid,V14,Northamerica,E7G_NA,E042N073T1,100000,4200000,7300000,1,X0042_Y0025
Equi7Grid,V14,Northamerica,E7G_NA,E042N072T1,100000,4200000,7200000,1,X0042_Y0026
Equi7Grid,V14,Northamerica,E7G_NA,E043N072T1,100000,4300000,7200000,1,X0043_Y0026
Equi7Grid,V14,Northamerica,E7G_NA,E043N071T1,100000,4300000,7100000,1,X0043_Y0027
Equi7Grid,V14,Northamerica,E7G_NA,E044N072T1,100000,4400000,7200000,1,X0044_Y0026
Equi7Grid,V14,Northamerica,E7G_NA,E044N071T1,100000,4400000,7100000,1,X0044_Y0027
Equi7Grid,V14,Northamerica,E7G_NA,E045N074T1,100000,4500000,7400000,0,X0045_Y0024
Equi7Grid,V14,Northamerica,E7G_NA,E045N071T1,100000,4500000,7100000,1,X0045_Y0027
Equi7Grid,V14,Northamerica,E7G_NA,E045N070T1,100000,4500000,7000000,1,X0045_Y0028
Equi7Grid,V14,Northamerica,E7G_NA,E046N075T1,100000,4600000,7500000,1,X0046_Y0023
Equi7Grid,V14,Northamerica,E7G_NA,E046N071T1,100000,4600000,7100000,1,X0046_Y0027
Equi7Grid,V14,Northamerica,E7G_NA,E046N070T1,100000,4600000,7000000,1,X0046_Y0028
Equi7Grid,V14,Northamerica,E7G_NA,E046N069T1,100000,4600000,6900000,1,X0046_Y0029
