GRID,VERSION,ZONE,SHORTNAME,TILE,EXTENT,EASTINGLL,NORTHINGLL,COVERSLAND,wui_name
Equi7Grid,V14,Oceania,E7G_OC,E028N100T1,100000,2800000,10000000,1,X0028_Y-002
Equi7Grid,V14,Oceania,E7G_OC,E028N101T1,100000,2800000,10100000,1,X0028_Y-003
Equi7Grid,V14,Oceania,E7G_OC,E028N102T1,100000,2800000,10200000,1,X0028_Y-004
Equi7Grid,V14,Oceania,E7G_OC,E029N099T1,100000,2900000,9900000,1,X0029_Y-001
Equi7Grid,V14,Oceania,E7G_OC,E029N100T1,100000,2900000,10000000,1,X0029_Y-002
Equi7Grid,V14,Oceania,E7G_OC,E029N101T1,100000,2900000,10100000,1,X0029_Y-003
Equi7Grid,V14,Oceania,E7G_OC,E029N098T1,100000,2900000,9800000,1,X0029_Y0000
Equi7Grid,V14,Oceania,E7G_OC,E030N099T1,100000,3000000,9900000,1,X0030_Y-001
Equi7Grid,V14,Oceania,E7G_OC,E030N100T1,100000,3000000,10000000,1,X0030_Y-002
Equi7Grid,V14,Oceania,E7G_OC,E030N101T1,100000,3000000,10100000,1,X0030_Y-003
Equi7Grid,V14,Oceania,E7G_OC,E030N098T1,100000,3000000,9800000,1,X0030_Y0000
Equi7Grid,V14,Oceania,E7G_OC,E030N097T1,100000,3000000,9700000,1,X0030_Y0001
Equi7Grid,V14,Oceania,E7G_OC,E030N096T1,100000,3000000,9600000,1,X0030_Y0002
Equi7Grid,V14,Oceania,E7G_OC,E031N099T1,100000,3100000,9900000,1,X0031_Y-001
Equi7Grid,V14,Oceania,E7G_OC,E031N100T1,100000,3100000,10000000,1,X0031_Y-002
Equi7Grid,V14,Oceania,E7G_OC,E031N101T1,100000,3100000,10100000,1,X0031_Y-003
Equi7Grid,V14,Oceania,E7G_OC,E031N098T1,100000,3100000,9800000,1,X0031_Y0000
Equi7Grid,V14,Oceania,E7G_OC,E031N097T1,100000,3100000,9700000,1,X0031_Y0001
Equi7Grid,V14,Oceania,E7G_OC,E031N096T1,100000,3100000,9600000,1,X0031_Y0002
Equi7Grid,V14,Oceania,E7G_OC,E032N099T1,100000,3200000,9900000,1,X0032_Y-001
Equi7Grid,V14,Oceania,E7G_OC,E032N100T1,100000,3200000,10000000,1,X0032_Y-002
Equi7Grid,V14,Oceania,E7G_OC,E032N103T1,100000,3200000,10300000,1,X0032_Y-005
Equi7Grid,V14,Oceania,E7G_OC,E032N098T1,100000,3200000,9800000,1,X0032_Y0000
Equi7Grid,V14,Oceania,E7G_OC,E032N097T1,100000,3200000,9700000,1,X0032_Y0001
Equi7Grid,V14,Oceania,E7G_OC,E032N096T1,100000,3200000,9600000,1,X0032_Y0002
Equi7Grid,V14,Oceania,E7G_OC,E032N095T1,100000,3200000,9500000,1,X0032_Y0003
Equi7Grid,V14,Oceania,E7G_OC,E032N094T1,100000,3200000,9400000,1,X0032_Y0004
Equi7Grid,V14,Oceania,E7G_OC,E032N093T1,100000,3200000,9300000,1,X0032_Y0005
Equi7Grid,V14,Oceania,E7G_OC,E032N081T1,100000,3200000,8100000,1,X0032_Y0017
Equi7Grid,V14,Oceania,E7G_OC,E033N099T1,100000,3300000,9900000,1,X0033_Y-001
Equi7Grid,V14,Oceania,E7G_OC,E033N102T1,100000,3300000,10200000,1,X0033_Y-004
Equi7Grid,V14,Oceania,E7G_OC,E033N103T1,100000,3300000,10300000,1,X0033_Y-005
Equi7Grid,V14,Oceania,E7G_OC,E033N098T1,100000,3300000,9800000,1,X0033_Y0000
Equi7Grid,V14,Oceania,E7G_OC,E033N097T1,100000,3300000,9700000,1,X0033_Y0001
Equi7Grid,V14,Oceania,E7G_OC,E033N096T1,100000,3300000,9600000,1,X0033_Y0002
Equi7Grid,V14,Oceania,E7G_OC,E033N095T1,100000,3300000,9500000,1,X0033_Y0003
Equi7Grid,V14,Oceania,E7G_OC,E033N094T1,100000,3300000,9400000,1,X0033_Y0004
