GRID,VERSION,ZONE,SHORTNAME,TILE,EXTENT,EASTINGLL,NORTHINGLL,COVERSLAND,wui_name
Equi7Grid,V14,Southamerica,E7G_SA,E024N034T1,100000,2400000,3400000,1,X0024_Y0064
Equi7Grid,V14,Southamerica,E7G_SA,E027N036T1,100000,2700000,3600000,1,X0027_Y0062
Equi7Grid,V14,Southamerica,E7G_SA,E037N071T1,100000,3700000,7100000,1,X0037_Y0027
Equi7Grid,V14,Southamerica,E7G_SA,E037N070T1,100000,3700000,7000000,1,X0037_Y0028
Equi7Grid,V14,Southamerica,E7G_SA,E037N069T1,100000,3700000,6900000,1,X0037_Y0029
Equi7Grid,V14,Southamerica,E7G_SA,E037N068T1,100000,3700000,6800000,1,X0037_Y0030
Equi7Grid,V14,Southamerica,E7G_SA,E038N070T1,100000,3800000,7000000,1,X0038_Y0028
Equi7Grid,V14,Southamerica,E7G_SA,E038N069T1,100000,3800000,6900000,1,X0038_Y0029
Equi7Grid,V14,Southamerica,E7G_SA,E038N068T1,100000,3800000,6800000,1,X0038_Y0030
Equi7Grid,V14,Southamerica,E7G_SA,E039N069T1,100000,3900000,6900000,1,X0039_Y0029
Equi7Grid,V14,Southamerica,E7G_SA,E039N068T1,100000,3900000,6800000,1,X0039_Y0030
Equi7Grid,V14,Southamerica,E7G_SA,E040N069T1,100000,4000000,6900000,1,X0040_Y0029
Equi7Grid,V14,Southamerica,E7G_SA,E040N068T1,100000,4000000,6800000,1,X0040_Y0030
Equi7Grid,V14,Southamerica,E7G_SA,E042N076T1,100000,4200000,7600000,1,X0042_Y0022
Equi7Grid,V14,Southamerica,E7G_SA,E046N081T1,100000,4600000,8100000,1,X0046_Y0017
Equi7Grid,V14,Southamerica,E7G_SA,E046N080T1,100000,4600000,8000000,1,X0046_Y0018
Equi7Grid,V14,Southamerica,E7G_SA,E047N081T1,100000,4700000,8100000,1,X0047_Y0017
Equi7Grid,V14,Southamerica,E7G_SA,E047N080T1,100000,4700000,8000000,1,X0047_Y0018
Equi7Grid,V14,Southamerica,E7G_SA,E047N079T1,100000,4700000,7900000,1,X0047_Y0019
Equi7Grid,V14,Southamerica,E7G_SA,E048N081T1,100000,4800000,8100000,1,X0048_Y0017
Equi7Grid,V14,Southamerica,E7G_SA,E048N080T1,100000,4800000,8000000,1,X0048_Y0018
Equi7Grid,V14,Southamerica,E7G_SA,E048N079T1,100000,4800000,7900000,1,X0048_Y0019
Equi7Grid,V14,Southamerica,E7G_SA,E048N078T1,100000,4800000,7800000,1,X0048_Y0020
Equi7Grid,V14,Southamerica,E7G_SA,E048N075T1,100000,4800000,7500000,1,X0048_Y0023
Equi7Grid,V14,Southamerica,E7G_SA,E049N081T1,100000,4900000,8100000,1,X0049_Y0017
Equi7Grid,V14,Southamerica,E7G_SA,E049N080T1,100000,4900000,8000000,1,X0049_Y0018
Equi7Grid,V14,Southamerica,E7G_SA,E049N079T1,100000,4900000,7900000,1,X0049_Y0019
Equi7Grid,V14,Southamerica,E7G_SA,E049N078T1,100000,4900000,7800000,1,X0049_Y0020
Equi7Grid,V14,Southamerica,E7G_SA,E049N069T1,100000,4900000,6900000,1,X0049_Y0029
Equi7Grid,V14,Southamerica,E7G_SA,E049N068T1,100000,4900000,6800000,1,X0049_Y0030
Equi7Grid,V14,Southamerica,E7G_SA,E049N066T1,100000,4900000,6600000,1,X0049_Y0032
Equi7Grid,V14,Southamerica,E7G_SA,E049N065T1,100000,4900000,6500000,1,X0049_Y0033
Equi7Grid,V14,Southamerica,E7G_SA,E049N064T1,100000,4900000,6400000,1,X0049_Y0034
Equi7Grid,V14,Southamerica,E7G_SA,E049N063T1,100000,4900000,6300000,1,X0049_Y0035
Equi7Grid,V14,Southamerica,E7G_SA,E050N081T1,100000,5000000,8100000,1,X0050_Y0017
Equi7Grid,V14,Southamerica,E7G_SA,E050N080T1,100000,5000000,8000000,1,X0050_Y0018
Equi7Grid,V14,Southamerica,E7G_SA,E050N079T1,100000,5000000,7900000,1,X0050_Y0019
Equi7Grid,V14,Southamerica,E7G_SA,E050N078T1,100000,5000000,7800000,1,X0050_Y0020
Equi7Grid,V14,Southamerica,E7G_SA,E050N071T1,100000,5000000,7100000,1,X0050_Y0027
Equi7Grid,V14,Southamerica,E7G_SA,E050N070T1,100000,5000000,7000000,1,X0050_Y0028
Equi7Grid,V14,Southamerica,E7G_SA,E050N069T1,100000,5000000,6900000,1,X0050_Y0029
Equi7Grid,V14,Southamerica,E7G_SA,E050N068T1,100000,5000000,6800000,1,X0050_Y0030
Equi7Grid,V14,Southamerica,E7G_SA,E050N067T1,100000,5000000,6700000,1,X0050_Y0031
Equi7Grid,V14,Southamerica,E7G_SA,E050N066T1,100000,5000000,6600000,1,X0050_Y0032
Equi7Grid,V14,Southamerica,E7G_SA,E050N065T1,100000,5000000,6500000,1,X0050_Y0033
Equi7Grid,V14,Southamerica,E7G_SA,E050N064T1,100000,5000000,6400000,1,X0050_Y0034
Equi7Grid,V14,Southamerica,E7G_SA,E050N063T1,100000,5000000,6300000,1,X0050_Y0035
Equi7Grid,V14,Southamerica,E7G_SA,E051N081T1,100000,5100000,8100000,1,X0051_Y0017
Equi7Grid,V14,Southamerica,E7G_SA,E051N080T1,100000,5100000,8000000,1,X0051_Y0018
Equi7Grid,V14,Southamerica,E7G_SA,E051N072T1,100000,5100000,7200000,1,X0051_Y0026
Equi7Grid,V14,Southamerica,E7G_SA,E051N071T1,100000,5100000,7100000,1,X0051_Y0027
