mdd_order,mdd_sciName,elev_min,elev_max,prefs_esa_landcover
AFROSORICIDA,Tenrec_ecaudatus,0,2100,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 190"
ARTIODACTYLA,Addax_nasomaculatus,0,8000,"30, 40, 60, 61, 62, 100, 110, 130, 150, 152, 153, 200, 201, 202"
ARTIODACTYLA,Aepyceros_melampus,0,3100,"30, 40, 60, 61, 62, 100, 110, 130"
ARTIODACTYLA,Alcelaphus_buselaphus,NA,NA,NA
ARTIODACTYLA,Alces_alces,0,2600,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 180"
ARTIODACTYLA,Ammotragus_lervia,0,4200,"30, 40, 60, 61, 62, 100, 110, 120, 121, 122, 130, 140, 150, 152, 153, 200, 201, 202"
ARTIODACTYLA,Antidorcas_marsupialis,0,2100,"30, 40, 60, 61, 62, 100, 110, 120, 121, 122, 130, 150, 152, 153, 200, 201, 202"
ARTIODACTYLA,Antilocapra_americana,0,8000,"30, 40, 110, 120, 121, 122, 130, 150, 152, 153, 200, 201, 202"
ARTIODACTYLA,Bos_bison,0,8000,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 150, 152, 153, 180, 200, 201, 202"
ARTIODACTYLA,Bos_bonasus,0,2200,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130"
ARTIODACTYLA,Blastocerus_dichotomus,0,8000,"30, 40, 60, 61, 62, 100, 110, 120, 121, 122, 130, 180, 210"
ARTIODACTYLA,Boselaphus_tragocamelus,0,8000,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 90, 100, 110, 120, 121, 122"
ARTIODACTYLA,Budorcas_taxicolor,1100,3700,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130"
ARTIODACTYLA,Capra_falconeri,500,3700,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 140, 200, 201, 202"
ARTIODACTYLA,Capra_ibex,400,3300,"30, 40, 110, 130, 140, 200, 201, 202"
ARTIODACTYLA,Capra_nubiana,0,2700,"30, 40, 110, 120, 121, 122, 140, 150, 152, 153, 200, 201, 202"
ARTIODACTYLA,Capra_pyrenaica,0,3600,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 140, 200, 201, 202"
ARTIODACTYLA,Capreolus_capreolus,0,2500,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 180, 190"
ARTIODACTYLA,Capricornis_crispus,0,8000,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130"
ARTIODACTYLA,Cephalophus_dorsalis,0,8000,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 130"
ARTIODACTYLA,Cervus_elaphus,0,2900,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 140, 200, 201, 202"
ARTIODACTYLA,Cervus_nippon,0,3100,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 180"
ARTIODACTYLA,Connochaetes_taurinus,0,2200,"30, 40, 60, 61, 62, 100, 110, 130"
ARTIODACTYLA,Dama_dama,-500,8000,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130"
ARTIODACTYLA,Gazella_dorcas,0,8000,"30, 40, 110, 120, 121, 122, 130, 150, 152, 153, 200, 201, 202"
ARTIODACTYLA,Giraffa_camelopardalis,0,8000,"30, 40, 50, 60, 61, 62, 90, 100, 110, 120, 121, 122, 130"
ARTIODACTYLA,Hippopotamus_amphibius,0,2100,"30, 40, 50, 60, 61, 62, 90, 100, 110, 120, 121, 122, 130, 160, 170, 180, 210"
ARTIODACTYLA,Hippotragus_niger,900,1600,"30, 40, 50, 60, 61, 62, 90, 100, 110, 120, 121, 122, 130"
ARTIODACTYLA,Hydropotes_inermis,0,8000,"20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 180"
ARTIODACTYLA,Kobus_ellipsiprymnus,0,3100,"30, 40, 50, 60, 61, 62, 90, 100, 110, 120, 121, 122, 130"
ARTIODACTYLA,Kobus_kob,0,8000,"30, 40, 60, 61, 62, 100, 110, 120, 121, 122, 130, 180"
ARTIODACTYLA,Kobus_leche,0,8000,"30, 40, 50, 60, 61, 62, 90, 100, 110, 160, 180"
ARTIODACTYLA,Mazama_americana,0,8000,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110"
ARTIODACTYLA,Mazama_gouazoubira,0,8000,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 90, 100, 110, 120, 121, 122, 130, 210"
ARTIODACTYLA,Muntiacus_reevesi,100,3600,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130"
ARTIODACTYLA,Odocoileus_hemionus,0,4600,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 150, 152, 153, 160, 170, 180, 190, 200, 201, 202, 210"
ARTIODACTYLA,Odocoileus_virginianus,0,4600,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 150, 152, 153, 160, 170, 180, 190, 200, 201, 202, 210"
ARTIODACTYLA,Oreamnos_americanus,0,2800,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 140, 200, 201, 202"
ARTIODACTYLA,Oryx_beisa,0,1800,"30, 40, 60, 61, 62, 100, 110, 120, 121, 122, 130, 150, 152, 153, 200, 201, 202"
ARTIODACTYLA,Oryx_gazella,0,8000,"30, 40, 60, 61, 62, 100, 110, 120, 121, 122, 130, 150, 152, 153, 200, 201, 202"
ARTIODACTYLA,Oryx_leucoryx,0,8000,"150, 152, 153, 200, 201, 202"
ARTIODACTYLA,Ovibos_moschatus,0,8000,"30, 40, 110, 130"
ARTIODACTYLA,Ovis_ammon,0,8000,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 140, 150, 152, 153, 200, 201, 202"
ARTIODACTYLA,Ovis_dalli,0,8000,"30, 40, 110, 120, 121, 122, 130, 140, 200, 201, 202"
ARTIODACTYLA,Ozotoceros_bezoarticus,0,8000,"10, 11, 12, 20, 30, 40, 60, 61, 62, 100, 110, 130, 180"
ARTIODACTYLA,Dicotyles_tajacu,0,2100,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 150, 152, 153, 160, 170, 180, 200, 201, 202"
ARTIODACTYLA,Phacochoerus_aethiopicus,0,1500,"30, 40, 50, 60, 61, 62, 90, 100, 110, 120, 121, 122, 150, 152, 153, 200, 201, 202"
ARTIODACTYLA,Philantomba_monticola,0,3100,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110"
ARTIODACTYLA,Rangifer_tarandus,2600,3100,"30, 40, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 140, 200, 201, 202"
ARTIODACTYLA,Redunca_redunca,0,3300,"30, 40, 60, 61, 62, 100, 110, 130, 180"
ARTIODACTYLA,Rupicapra_pyrenaica,300,2900,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 140, 200, 201, 202"
ARTIODACTYLA,Rupicapra_rupicapra,0,3200,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 140, 200, 201, 202"
ARTIODACTYLA,Rusa_timorensis,0,1000,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 90, 100, 110, 130, 180"
ARTIODACTYLA,Sus_scrofa,0,2800,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 150, 152, 153, 160, 170, 180, 200, 201, 202"
ARTIODACTYLA,Syncerus_caffer,-500,8000,"30, 40, 50, 60, 61, 62, 90, 100, 110, 120, 121, 122, 130, 180"
ARTIODACTYLA,Tragelaphus_oryx,-500,8500,NA
ARTIODACTYLA,Tayassu_pecari,0,2000,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 160, 170, 180"
ARTIODACTYLA,Tragelaphus_angasii,-500,8500,NA
ARTIODACTYLA,Tragelaphus_scriptus,0,4100,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 180"
ARTIODACTYLA,Tragelaphus_strepsiceros,-500,8500,NA
ARTIODACTYLA,Damaliscus_lunatus,0,1600,"30, 40, 60, 61, 62, 100, 110, 120, 121, 122, 130, 180"
ARTIODACTYLA,Hippotragus_equinus,0,8000,"30, 40, 50, 60, 61, 62, 90, 100, 110, 120, 121, 122, 130"
CARNIVORA,Acinonyx_jubatus,0,4100,"30, 40, 60, 61, 62, 100, 110, 120, 121, 122, 130, 150, 152, 153, 200, 201, 202"
CARNIVORA,Ailuropoda_melanoleuca,1100,4200,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110"
CARNIVORA,Ailurus_fulgens,100,4900,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130"
CARNIVORA,Arctictis_binturong,0,2600,"30, 40, 50, 60, 61, 62, 90, 100, 110"
CARNIVORA,Arctocephalus_pusillus,0,8000,210
CARNIVORA,Atilax_paludinosus,0,4000,"180, 210"
CARNIVORA,Bassariscus_astutus,0,3000,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 140, 190, 200, 201, 202"
CARNIVORA,Canis_aureus,0,3900,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 190"
CARNIVORA,Canis_latrans,0,8000,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 150, 152, 153, 180, 190, 200, 201, 202"
CARNIVORA,Canis_lupus,0,8000,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 140, 150, 152, 153, 180, 200, 201, 202"
CARNIVORA,Lupulella_mesomelas,NA,NA,NA
CARNIVORA,Canis_simensis,2900,4600,"30, 40, 110, 120, 121, 122, 130, 140, 200, 201, 202"
CARNIVORA,Caracal_caracal,0,3400,"30, 40, 50, 60, 61, 62, 90, 100, 110, 120, 121, 122, 130, 150, 152, 153, 200, 201, 202"
CARNIVORA,Cerdocyon_thous,0,3100,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130, 180"
CARNIVORA,Chrotogale_owstoni,0,8000,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110"
CARNIVORA,Chrysocyon_brachyurus,0,8000,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 90, 100, 110, 120, 121, 122, 130, 180"
CARNIVORA,Civettictis_civetta,0,5100,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110, 120, 121, 122, 130"
CARNIVORA,Conepatus_chinga,0,3100,"30, 40, 60, 61, 62, 100, 110, 120, 121, 122, 130"
CARNIVORA,Crocuta_crocuta,600,4200,"30, 40, 50, 60, 61, 62, 90, 100, 110, 130"
CARNIVORA,Crossarchus_obscurus,0,1600,"10, 11, 12, 20, 30, 40, 50, 60, 61, 62, 90, 100, 110, 130"
CARNIVORA,Cryptoprocta_ferox,0,2700,"30, 40, 50, 60, 61, 62, 70, 71, 72, 80, 81, 82, 90, 100, 110"
